Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Barichara;15492;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15495;;;;;;;;;;;;;;;;;;;;;1,38
Barichara;15499;;;;;;;;;;;;;0,31;;;;;;;;
Barichara;15501;;;;;;;;;;;;;;;;;;;;;1,25
Barichara;15502;;;;;;;;;;;;;;;;;;;;;1,31
Barichara;15503;;;;;;;;;;;;;;;;;;;;;1,29
Barichara;15504;;;;;;;;;;;;;;;;;;;;;1,33
Barichara;15506;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15512;;;;;;;;;;;;;;;;;;2,34;;;
Barichara;15547;;;;;;;;;;;;;;;;;;;;;1,28
Barichara;15548;;;;;;;;;;;;;;;;;;;;;1,36
Barichara;15550;;;;;;;;;2,04;;;;;;;;;;;;
Barichara;15568;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15575;;;;;;;;;;;;;;;;;;;;;1,25
Barichara;15577;;;;;;;;;;;;;;;;;;;;;1,35
Barichara;15587;;;;;;;;;0,01;;;;;;;;;;;;
Barichara;15593;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;15594;;;;;;;;;;;;;;;;;;;;;1,38
Barichara;15595;;;;;;;;;;;;;;;;;;;;;1,34
Barichara;15596;;;;;;;;;;;;;;;;;;;;;1,4
